13753	44397182	国际法院	0
15426	664498	新疆生产建设兵团第一师	0
15528	602004	爱丁堡大学	0
15544	563026	美利堅聯盟國	0
15572	753694	华东师范大学	0
15646	1237269	外科学	0
15663	1331030	美国司法部	0
16033	796173	中华人民共和国中央人民政府 (1949–1954)	0
16216	43955977	中国人民政治协商会议共同纲领	0
16240	507858	南开大学	0
16500	753694	南京大学	0
16661	552715	第九届全国人民代表大会	0
16765	43925764	中央银行	0
16939	83117	全国广播公司	0
16974	851526	武汉理工大学	0
17042	44380693	英国广播公司	0
17197	1543519	伊斯兰国 (政权形式)	0
17388	504154	爱尔兰共和军	0
17466	44436059	中山大学	0
18052	314203	统计力学	0
18075	43980716	中华人民共和国外交部	0
18076	44236272	中华人民共和国国防部	0
18078	664498	中华人民共和国国家计划委员会	0
18080	571245	中华人民共和国国家经济贸易委员会	0
18082	33540627	中华人民共和国国家经济体制改革委员会	0
18083	43355809	中华人民共和国财政部	0
18085	2192714	中国人民银行	0
18087	42808	中华人民共和国重工业部	0
18089	32931925	中华人民共和国冶金工业部	0
18104	563026	中华人民共和国石油工业部	0
18108	6645	中华人民共和国第一机械工业部	0
18112	39637064	中华人民共和国机械工业部	0
18117	6645	中华人民共和国第四机械工业部	0
18120	6645	中华人民共和国第二机械工业部	0
18122	1667864	中华人民共和国航空工业部	0
18125	6645	中华人民共和国第五机械工业部	0
18127	1529731	中华人民共和国第六机械工业部	0
18143	1651832	中央邦	0
18144	65938	大阪府	0
18147	43581	东南大学	0
18184	6645	中华人民共和国航天工业部	0
18186	105520	中华人民共和国铁道部	0
18188	1232538	中央人民政府政务院	0
18189	32343383	中华人民共和国航空航天工业部	0
18194	602004	中华人民共和国邮电部	0
18212	863767	中华人民共和国住房和城乡建设部	0
18215	2272257	中华人民共和国农业部	0
18216	796173	中华人民共和国农牧渔业部	0
18217	1529731	中华人民共和国农垦部	0
18221	2349408	中央人民政府贸易部	0
18223	39404811	中华人民共和国商业部	0
18251	43449116	中华人民共和国司法部	0
18435	1937408	联合国经济及社会理事会	0
18677	2133052	世界气象组织	0
18761	44488764	中国足球协会超级联赛	0
18769	1916312	西北工业大学	0
18930	1960229	中央研究院	0
18974	31212889	华中理工大学	0
19057	901455	中南财经政法大学	0
19087	400936	中國國民黨	0
19231	408425	民進黨 (消歧義)	0
19283	42627208	中国地质大学	0
19304	44537030	中华人民共和国国家安全部	0
19306	41565079	中华人民共和国内务部	0
19307	563026	中华人民共和国民政部	0
19310	571245	中华人民共和国高等教育部	0
19311	1568401	中华人民共和国文化部	0
19348	42247246	共和党 (消歧义)	0
19429	863767	中原油田	0
19479	1421591	西安理工大学	0
19571	44308344	中华人民共和国广播电影电视部	0
19573	563026	中国社会科学院	0
19578	44173565	中华人民共和国国家民族事务委员会	0
19586	1481413	欧洲经济共同体	0
19922	899386	中国人民志愿军	0
19929	44534492	朝鲜劳动党	0
20123	2030149	燕山大学	0
20189	36842906	中国共产党中央局	0
20241	883961	天文学大事年表	0
20248	341071	证券交易所	0
20281	42877849	中国共产党第二次全国代表大会	0
20285	571245	中国共产党第三次全国代表大会	0
20326	46136	英業達集團	0
20338	43417852	剑桥大学	0
20353	44361555	中華民國法律	0
20452	43682032	非政府组织	0
20490	44436625	中国人民解放军沈阳军区	0
20493	44446978	中国人民解放军北京军区	0
20495	44521307	中国人民解放军兰州军区	0
20496	44445213	中国人民解放军济南军区	0
20537	44522092	中国人民解放军南京军区	0
20538	44435998	中国人民解放军广州军区	0
20541	44494440	中国人民解放军成都军区	0
20542	44395921	中国人民解放军福州军区	0
20545	664498	中国人民解放军内蒙古军区	0
20546	664498	中国人民解放军西藏军区	0
20548	44427416	中国人民解放军武汉军区	0
20549	664498	中国人民解放军昆明军区	0
20660	43689571	中国国家博物馆	0
20810	2336662	中国海洋大学	0
20854	2256507	湖广等处行中书省	0
21013	1335447	华南理工大学	0
21262	863767	中国工程院	0
21294	65938	美國在台協會	0
21741	44541604	芝加哥大学	0
21864	371615	中国银行	0
21984	475646	白云山国家森林公园	0
22002	16230	联合国宪章	0
22014	930427	披頭四樂隊	0
22317	863767	北京工商大学	0
22427	2293281	南京师范大学附属中学	0
22435	753694	南京市金陵中学	0
22443	753694	南京大学附属中学	0
22469	657101	中国西昌卫星发射中心	0
22501	863767	郑集	0
22519	1810995	北京航空航天大学	0
22547	44280274	第七艦隊 (美國海軍)	0
22607	863767	南开大学泰达学院	0
22689	504154	朝鲜人民军	0
22876	43640711	巴黎和会 (1919年)	0
22978	1890236	伦斯勒理工学院	0
23033	1937408	麻省理工学院	0
23078	44541317	中国新闻社	0
23255	664498	东突厥斯坦解放组织	0
23257	2340812	东土耳其斯坦信息中心	0
23326	563026	四川大学	0
23482	782778	长江商学院	0
23548	646230	花旗银行	0
23638	42388949	天津医科大学	0
23658	571245	江苏省常州高级中学	0
23746	43623780	联合国亚洲及太平洋经济社会委员会	0
23955	44488832	中国足球协会甲级联赛	0
24035	44308067	中国共产党第四次全国代表大会	0
24036	1026327	中国青年报	0
24042	94325	联合早报	0
24068	2332816	人口统计学	0
24106	2380900	青岛理工大学	0
24131	2185623	中央民族大学	0
24146	44390611	建國黨	0
24308	2343685	德州仪器	0
24331	2287999	大众汽车	0
24332	869565	人民公社	0
24355	1534093	宪法学	0
24357	563026	太原理工大学	0
24462	657101	自由度 (统计学)	0
24725	863767	中国石油大学	0
24866	1890236	中国足球协会	0
25028	333736	國際足協世界盃	0
25045	632389	国际数学联盟	0
25393	408425	联合国秘书长	0
25398	552715	美軍虐待伊拉克戰俘事件	0
26017	602004	加爾文學院	0
26079	899386	中国中央电视台新闻频道	0
26255	44450225	牛津大学	0
26269	1380641	逍遥音乐会	0
26329	2133052	尼古劳斯·哈农库特	0
26378	1810982	印度国民大会党	0
26572	92955	中華民國行政區劃	0
26643	44393631	康奈尔大学	0
27038	1079275	內科學	0
28054	105520	印度人民党	0
30060	2192256	中央大学 (消歧义)	0
30139	1026327	中国政法大学	0
30753	552715	英國國教會	0
30875	42998336	中国人民大学附属中学	0
30952	1810982	欧洲共同体	0
30960	1039105	剑经	0
30963	2211036	欧洲联盟扩大	0
31016	893533	大韓民國國旗	0
31057	44239417	中華民國軍事	0
31117	44529863	國民政府	0
31118	1265487	巴黎公社	0
31227	495128	天津开发区职业技术学院	0
31232	507858	天津经济技术开发区	0
31299	408425	1971年至今中華民國與世界衛生組織的關係	0
31363	623484	瑞典國旗	0
31485	44411469	中央处理器	0
31495	490508	国际航空联合会	0
32080	669504	国家航天局	0
32502	2362192	北京大学工学院力学与空天技术系	0
32633	2221398	欧洲议会	0
32907	1437356	遠東聯邦管區	0
32915	144331	越南國旗	0
33086	44084848	纽约时报	0
33198	552715	首爾國際動漫節	0
33265	44505376	亚洲太平洋经济合作组织	0
33311	43831820	伦敦大学学院	0
33466	838055	考古天文学	0
33642	1685056	中国共产党第六届中央委员会	0
33676	44417631	中国人民解放军第四军医大学	0
33808	1331030	欧洲社会党	0
33901	992313	东京大学	0
34047	552715	海卫十一	0
34048	1067373	海卫十二	0
